food_id;food_name;kcal;protein;carbohydrate;fiber;img_path
239;Morango, cru;30.1;0.9;6.8;1.7;NULL
240;Nêspera, crua;42.5;0.3;11.5;3.0;NULL
241;Pequi, cru;205.0;2.3;13.0;19.0;NULL
242;Pêra, Park, crua;60.6;0.2;16.1;3.0;NULL
243;Pêra, Williams, crua;53.3;0.6;14.0;3.0;NULL
244;Pêssego, Aurora, cru;36.3;0.8;9.3;1.4;NULL
245;Pêssego, enlatado, em calda;63.1;0.7;16.9;1.0;NULL
246;Pinha, crua;88.5;1.5;22.4;3.4;NULL
247;Pitanga, crua;41.4;0.9;10.2;3.2;NULL
248;Pitanga, polpa, congelada;19.1;0.3;4.8;0.7;NULL
249;Romã, crua;55.7;0.4;15.1;0.4;NULL
250;Tamarindo, cru;275.7;3.2;72.5;6.4;NULL
251;Tangeri , Poncã, crua;37.8;0.8;9.6;0.9;NULL
252;Tangeri , Poncã, suco;36.1;0.5;8.8;0.0;NULL
253;Tucumã, cru;262.0;2.1;26.5;12.7;NULL
254;Umbu, cru;37.0;0.8;9.4;2.0;NULL
255;Umbu, polpa, congelada;33.9;0.5;8.8;1.3;NULL
256;Uva, Itália, crua;52.9;0.7;13.6;0.9;NULL
257;Uva, Rubi, crua;49.1;0.6;12.7;0.9;NULL
258;Uva, suco concen ado, envasado;57.7;0.0;14.7;0.2;NULL
259;Azeite, de dendê;884.0;0.0;0.0;0.0;NULL
260;Azeite, de oliva, ex a virgem;884.0;0.0;0.0;0.0;NULL
261;Manteiga, com sal;726.0;0.4;0.1;0.0;NULL
262;Manteiga, sem sal;757.5;0.4;0.0;0.0;NULL
263;Margari , com óleo hidroge do, com sal (65% de lipídeos);596.1;0.0;0.0;0.0;NULL
264;Margari , com óleo hidroge do, sem sal (8 % de lipídeos);722.5;0.0;0.0;0.0;NULL
265;Margari , com óleo interesterificado, com sal (65%de lipídeos);594.5;0.0;0.0;0.0;NULL
266;Margari , com óleo interesterificado, sem sal (65% de lipídeos);593.1;0.0;0.0;0.0;NULL
267;Óleo, de babaçu;884.0;0.0;0.0;0.0;NULL
268;Óleo, de canola;884.0;0.0;0.0;0.0;NULL
269;Óleo, de girassol;884.0;0.0;0.0;0.0;NULL
270;Óleo, de milho;884.0;0.0;0.0;0.0;NULL
271;Óleo, de pequi;884.0;0.0;0.0;0.0;NULL
272;Óleo, de soja;884.0;0.0;0.0;0.0;NULL
273;Abadejo, filé, congelado, assado;111.6;23.5;0.0;0.0;NULL
274;Abadejo, filé, congelado,cozido;91.1;19.3;0.0;0.0;NULL
275;Abadejo, filé, congelado, cru;59.1;13.1;0.0;0.0;NULL
276;Abadejo, filé, congelado, grelhado;129.6;27.6;0.0;0.0;NULL
277;Atum, conserva em óleo;165.9;26.2;0.0;0.0;NULL
278;Atum, fresco, cru;117.5;25.7;0.0;0.0;NULL
279;Bacalhau, salgado, cru;135.9;29.0;0.0;0.0;NULL
280;Bacalhau, salgado, refogado;139.7;24.0;1.2;*;NULL
281;Cação, posta, com farinha de  igo, frita;208.3;25.0;3.1;0.5;NULL
282;Cação, posta, cozida;116.0;25.6;0.0;0.0;NULL
283;Cação, posta, crua;83.3;17.9;0.0;0.0;NULL
284;Camarão, Rio Grande, grande, cozido;90.0;19.0;0.0;0.0;NULL
285;Camarão, Rio Grande, grande, cru;47.2;10.0;0.0;0.0;NULL
286;Camarão, Sete Barbas, sem cabeça, com casca, frito;231.2;18.4;2.9;0.0;NULL
287;Caranguejo, cozido;82.7;18.5;0.0;0.0;NULL
288;Corimba, cru;128.2;17.4;0.0;0.0;NULL
289;Corimbatá, assado;261.5;19.9;0.0;0.0;NULL
290;Corimbatá, cozido;238.7;20.1;0.0;0.0;NULL
291;Corvi  de água doce, crua;101.0;18.9;0.0;0.0;NULL
292;Corvi  do mar, crua;94.0;18.6;0.0;0.0;NULL
293;Corvi  grande, assada;146.5;26.8;0.0;0.0;NULL
294;Corvi  grande, cozida;100.1;23.4;0.0;0.0;NULL
295;Dourada de água doce, fresca;131.2;18.8;0.0;0.0;NULL
296;Lambari, congelado, cru;130.8;16.8;0.0;0.0;NULL
297;Lambari, congelado, frito;326.9;28.4;0.0;0.0;NULL
298;Lambari, fresco, cru;151.6;15.7;0.0;0.0;NULL
299;Manjuba, com farinha de  igo, frita;343.6;23.5;10.2;0.4;NULL
300;Manjuba, frita;349.3;30.1;0.0;0.0;NULL
301;Merluza, filé, assado;121.9;26.6;0.0;0.0;NULL
302;Merluza, filé, cru;89.1;16.6;0.0;0.0;NULL
303;Merluza, filé, frito;191.6;26.9;0.0;0.0;NULL
304;Pescada, branca, crua;110.9;16.3;0.0;0.0;NULL
305;Pescada, branca, frita;223.0;27.4;0.0;0.0;NULL
306;Pescada, filé, com farinha de  igo, frito;283.4;21.4;5.0;0.0;NULL
307;Pescada, filé, cru;107.2;16.7;0.0;0.0;NULL
308;Pescada, filé, frito;154.3;28.6;0.0;0.0;NULL
309;Pescada, filé, molho escabeche;142.0;11.8;5.0;0.8;NULL
310;Pescadinha, crua;76.4;15.5;0.0;0.0;NULL
311;Pintado, assado;191.6;36.5;0.0;0.0;NULL
312;Pintado, cru;91.1;18.6;0.0;0.0;NULL
313;Pintado, grelhado;152.2;30.8;0.0;0.0;NULL
314;Porquinho, cru;93.0;20.5;0.0;0.0;NULL
315;Salmão, filé, com pele, fresco,  grelhado;228.7;23.9;0.0;0.0;NULL
316;Salmão, sem pele, fresco, cru;169.8;19.3;0.0;0.0;NULL
317;Salmão, sem pele, fresco, grelhado;242.7;26.1;0.0;0.0;NULL
318;Sardinha, assada;164.4;32.2;0.0;0.0;NULL
319;Sardinha, conserva em óleo;285.0;15.9;0.0;0.0;NULL
320;Sardinha, frita;257.0;33.4;0.0;0.0;NULL
321;Sardinha, inteira, crua;113.9;21.1;0.0;0.0;NULL
322;Tucu ré, filé, congelado, cru;87.7;18.0;0.0;0.0;NULL
323;Apresuntado;128.9;13.5;2.9;0.0;NULL
324;Caldo de carne, tablete;240.6;7.8;15.1;0.6;NULL
325;Caldo de galinha, tablete;251.4;6.3;10.6;11.8;NULL
326;Carne, bovi , acém, moído, cozido;212.4;26.7;0.0;0.0;NULL
327;Carne, bovi , acém, moído, cru;136.6;19.4;0.0;0.0;NULL
328;Carne, bovi , acém, sem gordura, cozido;214.6;27.3;0.0;0.0;NULL
329;Carne, bovi , acém, sem gordura, cru;144.0;20.8;0.0;0.0;NULL
330;Carne, bovi , almôndegas, cruas;189.3;12.3;9.8;*;NULL
331;Carne, bovi , almôndegas, fritas;271.8;18.2;14.3;*;NULL
332;Carne, bovi , bucho, cozido;133.0;21.6;0.0;0.0;NULL
333;Carne, bovi , bucho, cru;137.3;20.5;0.0;0.0;NULL
334;Carne, bovi , capa de con a-filé, com gordura, crua;216.9;19.2;0.0;0.0;NULL
335;Carne, bovi , capa de con a-filé, com gordura, grelhada;311.7;30.7;0.0;0.0;NULL
336;Carne, bovi , capa de con a-filé, sem gordura, crua;131.1;21.5;0.0;0.0;NULL
337;Carne, bovi , capa de con a-filé, sem gordura, grelhada;239.4;35.1;0.0;0.0;NULL
338;Carne, bovi , charque, cozido;262.8;36.4;0.0;0.0;NULL
339;Carne, bovi , charque, cru;248.9;22.7;0.0;0.0;NULL
340;Carne, bovi , con a-filé, à milanesa;351.6;20.6;12.2;0.4;NULL
341;Carne, bovi , con a-filé de costela, cru;202.4;19.8;0.0;0.0;NULL
342;Carne, bovi , con a-filé de costela, grelhado;274.9;29.9;0.0;0.0;NULL
343;Carne, bovi , con a-filé, com gordura, cru;205.9;21.2;0.0;0.0;NULL
344;Carne, bovi , con a-filé, com gordura, grelhado;278.1;32.4;0.0;0.0;NULL
345;Carne, bovi , con a-filé, sem gordura, cru;156.6;24.0;0.0;0.0;NULL
346;Carne, bovi , con a-filé, sem gordura, grelhado;193.7;35.9;0.0;0.0;NULL
347;Carne, bovi , costela, assada;373.0;28.8;0.0;0.0;NULL
348;Carne, bovi , costela, crua;357.7;16.7;0.0;0.0;NULL
349;Carne, bovi , coxão duro, sem gordura, cozido;216.6;31.9;0.0;0.0;NULL
350;Carne, bovi , coxão duro, sem gordura, cru;148.0;21.5;0.0;0.0;NULL
351;Carne, bovi , coxão mole, sem gordura, cozido;218.7;32.4;0.0;0.0;NULL
352;Carne, bovi , coxão mole, sem gordura, cru;169.1;21.2;0.0;0.0;NULL
353;Carne, bovi , cupim, assado;330.1;28.6;0.0;0.0;NULL
354;Carne, bovi , cupim, cru;221.4;19.5;0.0;0.0;NULL
355;Carne, bovi , fígado, cru;141.0;20.7;1.1;0.0;NULL
356;Carne, bovi , fígado, grelhado;225.0;29.9;4.2;0.0;NULL
357;Carne, bovi , filé mingnon, sem gordura, cru;142.9;21.6;0.0;0.0;NULL
358;Carne, bovi , filé mingnon, sem gordura, grelhado;219.7;32.8;0.0;0.0;NULL
359;Carne, bovi , flanco, sem gordura, cozido;195.6;29.4;0.0;0.0;NULL
360;Carne, bovi , flanco, sem gordura, cru;141.5;20.0;0.0;0.0;NULL
361;Carne, bovi , fraldinha, com gordura, cozida;338.4;24.2;0.0;0.0;NULL
362;Carne, bovi , fraldinha, com gordura, crua;220.7;17.6;0.0;0.0;NULL
363;Carne, bovi , lagarto, cozido;222.5;32.9;0.0;0.0;NULL
364;Carne, bovi , lagarto, cru;134.9;20.5;0.0;0.0;NULL
365;Carne, bovi , língua, cozida;314.9;21.4;0.0;0.0;NULL
366;Carne, bovi , língua, crua;215.2;17.1;0.0;0.0;NULL
367;Carne, bovi , maminha, crua;152.8;20.9;0.0;0.0;NULL
368;Carne, bovi , maminha, grelhada;153.1;30.7;0.0;0.0;NULL
369;Carne, bovi , miolo de alca a, sem gordura, cru;162.9;21.6;0.0;0.0;NULL
370;Carne, bovi , miolo de alca a, sem gordura, grelhado;241.4;31.9;0.0;0.0;NULL
371;Carne, bovi , músculo, sem gordura, cozido;193.8;31.2;0.0;0.0;NULL
372;Carne, bovi , músculo, sem gordura, cru;141.6;21.6;0.0;0.0;NULL
373;Carne, bovi , paleta, com gordura, crua;158.7;21.4;0.0;0.0;NULL
374;Carne, bovi , paleta, sem gordura, cozida;193.7;29.7;0.0;0.0;NULL
375;Carne, bovi , paleta, sem gordura, crua;140.9;21.0;0.0;0.0;NULL
376;Carne, bovi , patinho, sem gordura, cru;133.5;21.7;0.0;0.0;NULL
